dm,gpdm,gpmc,sgdm,zgrq,wsfxrq,ssrq,ssb,fxjg,fxsyl,xype,xype_jt,xype_ttm,fxszj_w,xgfxsl_w,lgzrsl_w,wxpssl_w,wsfxsl_w,hbbl,wxsgsx_w,wsfxsgsx,yjmz_y,mzze_y,mzje_y,ssgsfxfy_w,ssgsfxfl,lgzrfy_w,zrfl,fxfyhj_w,fxfl,cxjbjf_w,sjjyzf_w,flfy_w,xxplf_w,tzzsl,psdxsl,yjsgsl_w,yjrgbs,yxbjpsdxjs,yxbjtzzjs,yxsgpsdxjs,yxsgsl_w,yxsgzj_y,yxsghpbl,wxrgbs,yxsghs,yxsggs_w,zql,wsrgbs,fxfs,cxfs,zcxs,sjjg,zcpgjg,lssws,fxggrq,wxfxqsrq,wxfxjzrq,wsfxdjzj_y,wxpsdjzj_y,cxsrgyg_w,mz,sf,zjhxy_2012,zjhxy,windxy,zqlx,jys
002937.SZ,002937,兴瑞科技,002937,2018-09-03,2018-09-12,2018-09-26,中小企业板,9.94,22.99,30.25,30.23217391,29.73347826,4600,4600,0,460,4140,50,600,18000,4.5724,4.5724,3.973965346,5984.34654,13.08797686,0,0,5984.34654,13.08797686,3396.226415,1066.037736,1021.862264,459.433962,3137,4828,2896490,6296.717391,4822,4822,4807,2883890,2866.58666,0.01595068,6269.3261,12896964,11172800.95,0.03705427,2698.7442,"网下询价,上网定价",余额包销,国海证券股份有限公司,天健会计师事务所(特殊普通合伙),"坤元资产评估有限公司,上海申威资产评估有限公司",北京市中伦律师事务所,2018-09-11,2018-09-12,2018-09-12,11105.76414,,12.6658,1,浙江省,计算机、通信和其他电子设备制造业,制造业-电子-其他电子设备制造业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
002936.SZ,002936,郑州银行,002936,2018-08-30,2018-09-07,2018-09-19,中小企业板,4.59,6.5,6.6,6.587727273,6.490909091,60000,60000,0,6000,54000,60,1250,180000,27.54,27.54,27.08785196,4521.48042,1.641786645,0,0,4521.48042,1.641786645,2692.452831,639.622642,316.037736,688.679245,2902,4498,5622300,937.05,4431,4431,4423,5528550,2537.60445,0.10852755,921.425,12679505,21940887.7,0.24611584,406.3127,"网下询价,上网定价",余额包销,"招商证券股份有限公司,中原证券股份有限公司",毕马威华振会计师事务所(特殊普通合伙),亚洲(北京)资产评估有限公司,北京市金杜律师事务所,2018-09-06,2018-09-07,2018-09-07,10070.86745,,137.3843,1,河南省,货币金融服务,金融、保险业-银行业-其他商业银行,金融--银行--商业银行--区域性银行,A股,深圳
300748.SZ,300748,金力永磁,300748,2018-08-29,2018-09-06,2018-09-21,创业板,5.39,22.98,30.24,30.49083333,30.03708333,4160,4160,0,416,3744,60,1000,12000,2.24224,2.24224,1.857035,3852.05,17.17947231,0,0,3852.05,17.17947231,2830.19,283.02,283.02,377.36,2838,4333,4332900,10415.625,4330,4330,4319,4318900,2327.8871,0.00963208,10381.9712,11179374,8191965.25,0.04570332,2188.0249,"网下询价,上网定价",余额包销,海通证券股份有限公司,立信会计师事务所(特殊普通合伙),北京北方亚事资产评估事务所(特殊普通合伙),广东华商律师事务所,2018-09-05,2018-09-06,2018-09-06,4415.46927,,8.4066,1,江西省,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,A股,深圳
002938.SZ,002938,鹏鼎控股,002938,2018-08-28,2018-09-05,2018-09-18,中小企业板,16.07,22.99,30.42,30.50521739,30.05173913,23114.3082,23114.3082,0,2311.4082,20802.9,60,500,69000,37.144693,37.14469328,36.01228428,11324.09,3.048642754,0,0,11324.09,3.048642754,9326.58,805,511.33,486.79,2954,4604,2298390,994.367849,4445,4445,4438,2215950,3561.03165,0.10430778,958.7013,12540576,17777193.05,0.11702016,854.5536,"网下询价,上网定价",余额包销,华泰联合证券有限责任公司,普华永道中天会计师事务所(特殊普通合伙),上海申威资产评估有限公司,上海市方达律师事务所,2018-09-04,2018-09-05,2018-09-05,28567.94923,,45.3796,1,广东省,计算机、通信和其他电子设备制造业,制造业-电子-其他电子设备制造业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
603790.SH,603790,雅运股份,732790,2018-08-22,2018-08-30,2018-09-12,主板,10.98,15.83,20.86,21.05045455,19.13454545,3680,3680,0,368,3312,52.5,800,13000,4.04064,4.04064,3.504952,5356.88,13.25750376,0,0,5356.88,13.25750376,3500,750,550,500,2738,5002,3989830,10841.92935,4978,4978,4947,3945830,4332.52134,0.0093263,10722.3641,11830873,8312235.4,0.03984488,2509.7329,"网下询价,上网定价",余额包销,广发证券股份有限公司,立信会计师事务所(特殊普通合伙),银信资产评估有限公司,上海市广发律师事务所,2018-08-29,2018-08-30,2018-08-30,9126.834469,,14.8114,1,上海,化学原料及化学制品制造业,制造业-石油、化学、塑胶、塑料,材料--材料Ⅱ--化工--特种化工,A股,上海
603297.SH,603297,永新光学,732297,2018-08-21,2018-08-29,2018-09-10,主板,25.87,22.99,28.17,28.49565217,28.59347826,2100,2100,0,210,1890,50,500,8000,5.4327,5.4327,4.871207,5614.93,10.33543174,0,0,5614.93,10.33543174,3843.89,923.58,386.79,419.81,2335,4138,2055100,9786.190476,4118,4118,4071,2021600,5229.8792,0.01038781,9626.6667,11883075,6235773,0.03030899,3299.3508,"网下询价,上网定价",余额包销,海通证券股份有限公司,天健会计师事务所(特殊普通合伙),,国浩律师(集团)事务所有限公司,2018-08-28,2018-08-29,2018-08-29,16131.94475,,10.8818,1,浙江省,仪器仪表制造业,制造业-机械、设备、仪表-仪器仪表及文化、办公用机械制造业-通用仪器仪表制造业,工业--资本货物--机械--工业机械,A股,上海
601577.SH,601577,长沙银行,780577,2018-08-14,2018-09-12,2018-09-26,主板,7.99,6.97,6.59,6.58,6.483333333,34215.5376,34215.5376,0,3421.5376,30794,60,2000,102000,27.338215,27.33821454,26.41657354,9216.41,3.371255276,0,0,9216.41,3.371255276,7711.44,396.23,344.34,481.13,2375,4226,8346240,2439.324355,4199,4199,4186,8267740,6605.92426,0.04138419,2416.3815,12094096,18325923.4,0.16803519,595.1134,"网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),开元资产评估有限公司,湖南启元律师事务所,2018-09-11,2018-09-12,2018-09-12,14642.4128,,93.9346,1,湖南省,货币金融服务,金融、保险业-银行业-其他商业银行,金融--银行--商业银行--区域性银行,A股,上海
002935.SZ,002935,天奥电子,002935,2018-08-14,2018-08-23,2018-09-03,中小企业板,19.38,22.99,31.15,31.57416667,31.17166667,2667,2667,0,266.7,2400.3,60,300,8000,5.168646,5.168646,4.787245,3814.01,7.379127919,0,0,3814.01,7.379127919,3208.67,65.09,84.91,425.47,3096,4951,1485040,5568.203975,4932,4932,4906,1471540,2851.84452,0.01812387,5517.5853,12567531,6900198.9,0.03478595,2874.7235,"网下询价,上网定价",余额包销,金元证券股份有限公司,中审众环会计师事务所(特殊普通合伙),四川天健华衡资产评估有限公司,北京市康达律师事务所,2018-08-22,2018-08-23,2018-08-23,13372.58547,,8.3707,1,四川省,计算机、通信和其他电子设备制造业,信息技术业-通信及相关设备制造业,工业--资本货物--航空航天与国防Ⅲ--航天航空与国防,A股,深圳
603583.SH,603583,捷昌驱动,732583,2018-08-13,2018-09-11,2018-09-21,主板,29.17,22.99,21.68,21.78608696,20.75826087,3020,3020,0,302,2718,50.26,180,12000,8.80934,8.80934,8.082007,7273.33,8.256384701,0,0,7273.33,8.256384701,4834.28,1258.11,755.28,398.3,2436,4488,807840,2674.966887,4439,4439,4427,796860,2324.44062,0.03789875,2638.6093,11788674,7928385.5,0.03428189,2916.9925,"网下询价,上网定价",余额包销,兴业证券股份有限公司,立信会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,浙江天册律师事务所,2018-09-10,2018-09-11,2018-09-11,23127.1005,,12.1473,1,浙江省,电气机械及器材制造业,制造业-机械、设备、仪表-电器机械及器材制造业,工业--资本货物--电气设备--电气部件与设备,A股,上海
002933.SZ,002933,新兴装备,002933,2018-08-07,2018-08-15,2018-08-28,中小企业板,22.45,22.99,33.97,33.9626087,34.23391304,2935,2935,0,293.5,2641.5,50,300,11500,6.589075,6.589075,5.7633,8257.75,12.53248749,0,0,8257.75,12.53248749,6019.88,894.91,817.74,420,2992,4838,1450400,4941.737649,4828,4828,4815,1443500,3240.6575,0.02033253,4918.2283,12534130,8631249.8,0.03060391,3267.5562,"网下询价,上网定价",余额包销,长江证券承销保荐有限公司,大华会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市康达律师事务所,2018-08-14,2018-08-15,2018-08-15,19377.1558,,12.3355,1,北京,铁路、船舶、航空航天和其他运输设备制造业,制造业-机械、设备、仪表-交通运输设备制造业-航空航天器制造业,工业--资本货物--航空航天与国防Ⅲ--航天航空与国防,A股,深圳
